Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.06   12.00,0.851,0.994,0,400,26.4723,250,34.3895,300,
2017.09.06   13.00,0.861,2.062,24.0821,400,29.1184,250,37.8091,300,
2017.09.06   14.00,0.725,1.29,2.384,400,62.5196,250,80.7524,300,
2017.09.06   15.00,0.525,1.675,7.5543,400,112.7188,250,145.0038,300,
2017.09.06   16.00,0.636,2.118,28.4808,400,88.0256,250,112.9797,300,
2017.09.06   17.00,0.796,2.217,38.3137,400,49.3399,250,63.2878,300,
2017.09.06   18.00,0.764,2.422,70.8051,400,56.0283,250,71.9298,300,
2017.09.06   19.00,0.893,1.861,13.1882,400,24.3466,250,31.3186,300,
2017.09.06   20.00,0.678,1.59,5.8561,400,67.5579,250,87.023,300,
2017.09.06   21.00,0.586,2.305,49.8706,400,73.7777,250,94.0773,300,
2017.09.06   22.00,0.569,2.182,34.4999,400,49.7319,250,54.1056,300,
2017.09.06   23.00,0.786,2.732,179.219,400,0.7287,250,0.0025,300,
2017.09.07   00.00,0.872,2.168,33.0829,400,0,250,0,300,
2017.09.07   01.00,0.763,2.554,105.1479,400,0,250,0,300,
2017.09.07   02.00,0.765,2.36,58.8032,400,0,250,0,300,
2017.09.07   03.00,0.791,1.637,6.7415,400,0,250,0,300,
2017.09.07   04.00,0.555,2.443,75.4026,400,0,250,0,300,
2017.09.07   05.00,0.747,1.123,1.4455,400,0,250,0,300,
2017.09.07   06.00,0.92,2.074,24.9635,400,0,250,0,300,
2017.09.07   07.00,0.677,1.66,7.2224,400,0,250,0,300,
2017.09.07   08.00,0.579,2.626,130.4592,400,0,250,0,300,
2017.09.07   09.00,0.391,1.736,9.069,400,0,250,0,300,
2017.09.07   10.00,0.248,3.166,400,400,1.8656,250,0.0227,300,
2017.09.07   11.00,0.307,1.773,10.132,400,77.94,250,93.5457,300,
2017.09.07   12.00,0.169,1.808,11.2521,400,146.8628,250,191.7008,300,
2017.09.07   13.00,0.018,1.347,2.8279,400,205.1282,250,267.041,300,
2017.09.07   14.00,0,2.316,51.5413,400,226.8891,250,293.5787,300,
2017.09.07   15.00,0.168,2.418,69.9617,400,197.1061,250,253.9233,300,
2017.09.07   16.00,0.13,0.759,0,400,210.0566,250,269.9533,300,
2017.09.07   17.00,0.051,0.893,0,400,229.1389,250,294.2963,300,
2017.09.07   18.00,0.084,2.156,31.9147,400,217.0301,250,279.0292,300,
2017.09.07   19.00,0.261,1.517,4.7058,400,167.703,250,216.1159,300,
2017.09.07   20.00,0.106,0.958,0,400,186.7971,250,241.2373,300,
2017.09.07   21.00,0,2.338,55.0526,400,176.7839,250,226.4207,300,
2017.09.07   22.00,0.096,2.101,27.0666,400,101.6282,250,111.4174,300,
2017.09.07   23.00,0,3.514,400,400,2.399,250,0.0094,300,
2017.09.08   00.00,0.275,1.27,2.2453,400,0,250,0,300,
2017.09.08   01.00,0.37,1.621,6.426,400,0,250,0,300,
2017.09.08   02.00,0.42,1.647,6.9465,400,0,250,0,300,
2017.09.08   03.00,0.273,1.746,9.3448,400,0,250,0,300,
2017.09.08   04.00,0.51,2.802,221.0325,400,0,250,0,300,
2017.09.08   05.00,0.316,2.221,38.7755,400,0,250,0,300,
2017.09.08   06.00,0.271,2.94,334.1937,400,0,250,0,300,
2017.09.08   07.00,0.429,1.083,1.2823,400,0,250,0,300,
2017.09.08   08.00,0.344,1.925,15.9754,400,0,250,0,300,
2017.09.08   09.00,0.193,2.288,47.3944,400,0,250,0,300,
2017.09.08   10.00,0.029,1.141,1.5256,400,1.9027,250,0.0281,300,
2017.09.08   11.00,0,2.737,181.9236,400,110.5104,250,134.6545,300,
2017.09.08   12.00,0,0.7,0,400,175.776,250,230.5688,300,
2017.09.08   13.00,0.05,2.573,111.3064,400,197.8667,250,258.2671,300,
2017.09.08   14.00,0,2.027,21.6849,400,226.4256,250,293.5087,300,
2017.09.08   15.00,0.254,3.26,400,400,176.4308,250,227.6179,300,
2017.09.08   16.00,0.12,1.734,9.0148,400,212.126,250,272.9711,300,
2017.09.08   17.00,0.046,1.405,3.3645,400,229.9478,250,295.726,300,
2017.09.08   18.00,0,2.384,63.1867,400,236.4469,250,304.4416,300,
2017.09.08   19.00,0,1.479,4.1995,400,226.313,250,292.1837,300,
2017.09.08   20.00,0.181,1.203,1.837,400,170.4041,250,220.6495,300,
2017.09.08   21.00,0.112,3.403,400,400,155.686,250,200.3181,300,
2017.09.08   22.00,0,2.444,75.6288,400,109.3525,250,120.9065,300,
2017.09.08   23.00,0.248,2.484,85.2567,400,1.2495,250,0.0057,300,
2017.09.09   00.00,0.26,2.238,40.8014,400,0,250,0,300,
2017.09.09   01.00,0.049,1.941,16.7598,400,0,250,0,300,
2017.09.09   02.00,0,1.509,4.5944,400,0,250,0,300,
2017.09.09   03.00,0.097,3.127,400,400,0,250,0,300,
2017.09.09   04.00,0.328,2.154,31.7241,400,0,250,0,300,
2017.09.09   05.00,0.184,1.322,2.6238,400,0,250,0,300,
2017.09.09   06.00,0,0.889,0,400,0,250,0,300,
2017.09.09   07.00,0.028,3.045,400,400,0,250,0,300,
2017.09.09   08.00,0.186,1.069,1.2296,400,0,250,0,300,
2017.09.09   09.00,0.123,1.752,9.5143,400,0,250,0,300,
2017.09.09   10.00,0,1.683,7.7376,400,1.5381,250,0.0276,300,
2017.09.09   11.00,0.059,0.505,0,400,102.1074,250,126.3953,300,
2017.09.09   12.00,0.261,0.734,0,400,129.1796,250,170.3005,300,
2017.09.09   13.00,0.48,2.565,108.6706,400,107.9842,250,141.3259,300,
2017.09.09   14.00,0.678,1.54,5.0415,400,72.757,250,94.486,300,
2017.09.09   15.00,0.688,2.038,22.4114,400,73.6602,250,95.1711,300,
2017.09.09   16.00,0.638,1.112,1.3987,400,87.1162,250,112.2539,300,
2017.09.09   17.00,0.511,1.295,2.4199,400,117.6581,250,151.5187,300,
2017.09.09   18.00,0.596,2.39,64.3327,400,95.3243,250,122.9215,300,
2017.09.09   19.00,0.424,0.888,0,400,129.9919,250,168.1442,300,
2017.09.09   20.00,0.624,2.927,321.4288,400,77.8927,250,101.1353,300,
2017.09.09   21.00,0.812,3.004,400,400,32.6783,250,42.2489,300,
2017.09.09   22.00,0.953,2.269,44.7721,400,4.9905,250,5.5698,300,
2017.09.09   23.00,0.914,2.377,61.8754,400,0.0976,250,0.0005,300,
2017.09.10   00.00,1,1.979,18.7806,400,0,250,0,300,
2017.09.10   01.00,0.859,0.619,0,400,0,250,0,300,
2017.09.10   02.00,0.623,2.06,23.9382,400,0,250,0,300,
2017.09.10   03.00,0.407,1.024,1.0745,400,0,250,0,300,
2017.09.10   04.00,0.457,1.688,7.8543,400,0,250,0,300,
