Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_WindTurbinePowerPlant@24/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@24/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.05   03.00,0,1.081,1.2746,400,1.2862,500,0,250,0,300,
2017.09.05   04.00,0.217,2.444,75.6288,400,88.8498,500,0,250,0,300,
2017.09.05   05.00,0.154,1.807,11.2184,400,12.2754,500,0,250,0,300,
2017.09.05   06.00,0.15,2.314,51.2334,400,59.323,500,0,250,0,300,
2017.09.05   07.00,0.122,1.245,2.0833,400,2.141,500,0,250,0,300,
2017.09.05   08.00,0.174,1.902,14.9118,400,16.4906,500,0,250,0,300,
2017.09.05   09.00,0,1.893,14.5151,400,16.0358,500,0.0001,250,0,300,
2017.09.05   10.00,0,1.232,2.0037,400,2.0563,500,3.8881,250,0.0331,300,
2017.09.05   11.00,0.274,0.837,0,400,0,500,84.4009,250,98.4798,300,
2017.09.05   12.00,0.343,1.794,10.7899,400,11.7894,500,117.3299,250,151.7103,300,
2017.09.05   13.00,0.433,2.01,20.6082,400,23.0664,500,119.1097,250,154.2677,300,
2017.09.05   14.00,0.364,2.542,101.4351,400,120.4775,500,144.8746,250,186.7985,300,
2017.09.05   15.00,0.477,2.623,129.292,400,154.9581,500,124.3125,250,159.694,300,
2017.09.05   16.00,0.52,1.272,2.2588,400,2.3284,500,116.2585,250,149.0269,300,
2017.09.05   17.00,0.503,0.898,0,400,0,500,120.4047,250,154.2451,300,
2017.09.05   18.00,0.304,2.631,132.428,400,158.8584,500,165.5603,250,212.247,300,
2017.09.05   19.00,0.329,2.031,21.9463,400,24.6218,500,153.0764,250,196.5656,300,
2017.09.05   20.00,0.574,1.346,2.8194,400,2.9304,500,89.7364,250,115.3036,300,
2017.09.05   21.00,0.613,2.429,72.3056,400,84.8036,500,69.5023,250,88.2517,300,
2017.09.05   22.00,0.795,1.623,6.4646,400,6.9299,500,24.2424,250,26.1916,300,
2017.09.05   23.00,0.72,0.551,0,400,0,500,1.3259,250,0.0041,300,
2017.09.06   00.00,0.945,0.908,0,400,0,500,0,250,0,300,
2017.09.06   01.00,0.808,0.854,0,400,0,500,0,250,0,300,
2017.09.06   02.00,0.684,2.104,27.311,400,30.891,500,0,250,0,300,
2017.09.06   03.00,0.906,1.874,13.712,400,15.1165,500,0,250,0,300,
2017.09.06   04.00,0.843,2.353,57.5829,400,66.9658,500,0,250,0,300,
2017.09.06   05.00,0.83,1.752,9.5143,400,10.347,500,0,250,0,300,
2017.09.06   06.00,0.732,1.536,4.9814,400,5.2884,500,0,250,0,300,
2017.09.06   07.00,0.784,3.399,400,400,500,500,0,250,0,300,
